282	86
264	78
185	20
179	21
344	88
71	72
288	86
60	84
337	90
169	19
58	72
346	72
339	72
347	74
319	70
200	20
10	80
60	78
172	19
306	76
342	70
272	76
295	74
50	89
61	80
68	72
240	60
232	76
10	70
345	60
65	80
314	78
58	86
200	88
294	70
329	74
245	62
55	83
230	64
114	60
195	19
196	18
221	58
220	77
318	79
210	72
181	20
148	82
220	88
20	62
318	88
46	60
335	78
210	66
336	80
1	60
229	75
90	74
322	78
190	18
50	80
32	70
198	20
57	77
31	82
125	82
70	78
5	72
328	80
330	75
308	81
9	70
171	59
64	62
332	81
202	18
98	87
112	86
40	68
337	70
194	23
54	70
325	73
22	80
194	21
56	78
350	82
358	80
26	70
90	67
344	72
306	82
20	75
260	85
24	65
315	70
180	20
225	55
50	75
60	75
340	65
315	83
325	60
335	82
260	76
350	75
40	65
230	65
230	70
295	85
225	60
160	88
20	78
45	74
320	76
70	84
355	68
350	70
35	70
290	85
130	70
230	50
40	75
120	86
30	76
290	88
